Address, Size(Byte), Data Name, Description, Access, InitialValue
0, 2, Model Number, Model Number, R, 18
2, 1, Firmware Version, Firmware Version, R, -
3, 1, ID, DYNAMIXEL ID, RW, 1
4, 1, Baud Rate, Communication Speed, RW, 1
5, 1, Return Delay Time, Response Delay Time, RW, 250
6, 2, CW Angle Limit, Clockwise Angle Limit, RW, 0
8, 2, CCW Angle Limit, Counter-Clockwise Angle Limit, RW, 1023
11, 1, Temperature Limit, Maximum Internal Temperature Limit, RW, 75
12, 1, Min Voltage Limit, Minimum Input Voltage Limit, RW, 60
13, 1, Max Voltage Limit, Maximum Input Voltage Limit, RW, 140
14, 2, Max Torque, Maximun Torque, RW, 983
16, 1, Status Return Level, Select Types of Status Return, RW, 2
17, 1, Alarm LED, LED for Alarm, RW, 36
18, 1, Shutdown, Shutdown Error Information, RW, 36
24, 1, Torque Enable, Motor Torque On/Off, RW, 0
25, 1, LED, Status LED On/Off, RW, 0
26, 1, CW Compliance Margin, CW Compliance Margin, RW, 1
27, 1, CCW Compliance Margin, CCW Compliance Margin, RW, 1
28, 1, CW Compliance Slope, CW Compliance Slope, RW, 32
29, 1, CCW Compliance Slope, CCW Compliance Slope, RW, 32
30, 2, Goal Position, Target Position, RW, -
32, 2, Moving Speed, Moving Speed, RW, -
34, 2, Torque Limit, Torque Limit(Goal Torque), RW, ADD 14&15
36, 2, Present Position, Present Position, R, -
38, 2, Present Speed, Present Speed, R, -
40, 2, Present Load, Present Load, R, -
42, 1, Present Voltage, Present Voltage, R, -
43, 1, Present Temperature, Present Temperature, R, -
44, 1, Registered, If Instruction is registered, R, 0
46, 1, Moving, Movement Status, R, 0
47, 1, Lock, Locking EEPROM, RW, 0
48, 2, Punch, Minimum Current Threshold, RW, 32